evaluation_order,device,company_origin,form_factor_segment,hr,ibi_hrv,raw_ppg_bvp,ecg,bp_actual,bp_continuous,spo2,skin_temperature,eda,respiration,motion,background_recording,live_programmatic,raw_waveform_export,api_sdk,manual_export,battery_days_nominal,access_mode,key_limit,source_ids
1,"Apple Watch Series 11","United States","watch — consumer baseline",1,0.5,0,0.5,0,0,0.5,0.5,0,0.5,1,1,0.5,0.5,1,1,1,"HealthKit; Core Motion; XML export","No public continuous raw PPG, EDA, or BP; several metrics are spot, night, or region limited","APL01;APL02;APL04;APL05;VAL01"
2,"ActiGraph LEAP","United States","wrist wearable — clinical research primary",1,1,1,0,0.5,0,0.5,1,0,0.5,1,1,0.5,1,1,1,32,"CentrePoint; Data Access API; ActiLife 7","Raw data are available after device-to-platform transfer; public documentation does not establish low-latency live streaming; BP is an external upper-arm measure, not a LEAP wrist signal","ACT01;ACT02;VAL09"
3,"Biostrap Kairos","United States","wrist wearable — research primary",1,1,1,0,0,0,0.5,0,0,1,1,1,0.5,1,1,1,9,"Biostrap RPM; cloud pipeline; API; Bluetooth SDK","Raw PPG/IBI access is contract dependent; current Kairos materials do not confirm EDA, ECG, BP, or skin temperature","BIO01;BIO02;BIO03;VAL10"
4,"VitalConnect VitalPatch RTM","United States","chest patch — clinical signal reference",1,1,0,1,0,0,0,1,0,1,1,1,1,1,1,1,,"VitalConnect Platform; Relay Software Library APIs; VistaCenter CSV","Chest placement is not a watch; no BP, SpO2, or EDA from the patch itself; validate adhesive tolerance and workflow integration","VIT01;VIT02;VAL07;VAL08"
5,"Google Pixel Watch 4","United States","watch — Android comparator",1,0.5,0,0.5,0,0,0.5,0.5,1,0.5,1,1,0.5,0,1,1,1.7,"Wear OS Health Services; Fitbit Web API; Health Connect; account export","Live access is processed HR; passive updates may be batched; no public raw PPG or EDA export","GOO01;GOO03;GOO04"
6,"Fitbit Sense 2","United States","watch — consumer comparator",1,0.5,0,0.5,0,0,0.5,0.5,1,0.5,1,1,0,0,0.5,1,6,"Fitbit Web API; account archive","No research-grade live raw stream; multi-user intraday access needs approval; ECG, SpO2, and temperature are not continuous raw feeds","FIT01;FIT03;FIT04;VAL01;VAL02"
7,"Garmin Venu 4","United States operational headquarters","watch — enterprise SDK comparator",1,1,0,0.5,0,0,0.5,1,0,1,1,1,0.5,0.5,0.5,1,12,"Garmin Health SDK/API; Garmin Connect export","Enterprise licensing and approval; live data are largely processed rather than raw optical waveforms","GAR01;GAR03;GAR04;VAL02"
8,"WHOOP MG","United States","band — longitudinal baseline",1,0.5,0,0.5,0.5,0,0.5,0.5,0,0.5,1,1,0,0,1,1,14,"WHOOP API; CSV account export","API is mainly aggregate; BP is a daily cuff-calibrated resting estimate; no public raw PPG or IBI stream","WHO01;WHO03;WHO04;VAL02"
9,"BioIntelliSense BioButton Rechargeable","United States","chest wearable — ward-monitoring comparator",1,0,0,0,0,0,0,1,0,1,1,1,0.5,0,0.5,0.5,10,"BioMobile/BioHub; BioCloud; BioDashboard; EMR integration","HR and RR are reported at rest and may be suppressed during motion; no public raw waveform or study SDK contract","BBT01;BBT02;VAL06"
10,"Masimo W1 Medical","United States","watch — medical SpO2 comparator",1,0.5,0,0.5,0,0,1,0,0,0,1,1,0.5,0,0.5,0.5,1,"Masimo W1 UI; Masimo SafetyNet pathway by contract","Strong SpO2/PR positioning, but no public raw optical stream or open research API; ECG is spot-check","MAS01;VAL11"
11,"iRhythm Zio AT","United States","chest patch — ambulatory ECG comparator",1,1,0,1,0,0,0,0,0,0,0.5,1,0.5,0.5,0.5,0.5,14,"Zio AT gateway; Zio ECG Utilization Service; ZioSuite reports","Continuous ECG recording and event transmission do not equal an open raw research stream; labeling excludes critical-care use","ZIO01;ZIO02"
12,"Samsung Galaxy Watch8","South Korea","watch — non-US direct-evidence benchmark",1,1,1,0.5,0.5,0,0.5,1,1,0.5,1,1,1,1,0.5,1,1.7,"Samsung Health Sensor SDK; Health Data SDK; account export","Commercial distribution needs Samsung partner approval; BP is cuff-calibrated and not continuous; non-US benchmark retained because of direct VVS PPG evidence","SAM02;SAM03;SAM04;VVS01"
13,"Empatica EmbracePlus","Italy / United States operations","research watch — non-US autonomic reference",1,1,1,0,0,0,0.5,1,1,0.5,1,1,0.5,1,1,1,,"Empatica Health Monitoring Platform; cloud API; Avro export","No BP or ECG; near-real-time latency and plan entitlements require contract confirmation","EMP01;EMP02;VAL03;VAL04;VAL05"
14,"Corsano CardioWatch 287-2","Netherlands","medical bracelet — non-US BP diligence",1,1,1,0.5,1,1,1,1,1,1,1,1,1,1,1,1,,"Corsano cloud; REST API/SDK; CSV/raw export","Prescription, region, and endpoint-specific regulatory scope must be verified; fast BP claims require independent reference validation","COR01;COR02;COR03;COR04;REG01;BP02"
15,"Huawei Watch D2","China","watch with inflatable wrist cuff — non-US BP comparator",1,0.5,0,0.5,1,0.5,1,1,0,0.5,1,1,0,0,0.5,0.5,6,"Huawei Health; Health Kit; cloud/account route","ABPM is intermittent at 15–60 minute intervals, not rapid continuous BP; wear on the arm opposite venipuncture","HUA01;HUA02;HUA04"
