modality,deployment_class,vitestro_role,evidence_summary,main_failure_mode,source_ids
"Continuous beat-to-beat blood pressure","Development reference only","Ground truth for rapid hemodynamic change","Joint BP/R-R models and BP-only deep learning predict tilt-induced syncope, but wearable cuffless systems have not reliably tracked the rapid presyncopal BP fall","No reviewed wrist device provides validated fast continuous BP for this use case","CLN03;CLN15;CLN16;CLN17;BP01;BP02"
"ECG and R-R intervals","Primary reference and candidate feature","Cardiac timing, rhythm, HR trend, and ECG-derived HRV","ECG-derived R-R adds mechanistic and modeling value; HRV alone is not sufficiently discriminative","Chest adhesion, motion artifact, and false equivalence between ECG HRV and PPG PRV","CLN03;CLN09;CLN12;CLN17"
"Raw wrist PPG","Primary deployable wearable candidate","Pulse waveform morphology, pulse-rate trend, PRV, perfusion proxies, and signal quality","A Galaxy Watch raw-PPG model showed direct prospective HUT prediction evidence","Controlled HUT evidence may not generalize to venipuncture; motion, low perfusion, fit, and pigmentation affect quality","VVS01;CLN08;CLN09;OPT01;OPT02;VAL02"
"Electrodermal activity","Secondary autonomic candidate","Sweating/arousal signal and potential early warning","EDA increased before syncope in 62% of syncopal HUT patients and often preceded measured hemodynamic change","Absent in 25% and strongly confounded by anxiety, pain, thermoregulation, and sensor location","CLN14;CLN04"
"Skin temperature and peripheral perfusion","Secondary contextual candidate","Peripheral vasomotor context and optical-signal interpretation","Peripheral or facial temperature changes may contain anticipatory information","Ambient conditions, attachment site, and slow thermal dynamics limit acute specificity","VIS02;OPT01"
"Respiration","Secondary contextual candidate","Hyperventilation, anxiety, and cardiopulmonary context","Respiratory change can help distinguish discomfort or anxiety from hemodynamic collapse","Many devices expose only derived or rest-gated respiratory rate rather than a raw waveform","CLN20;VIT01"
"SpO2","Context and safety comparator","Late hypoxemia check and optical-quality context","Useful as a reference safety channel when clinically indicated","Usually intermittent or algorithmically smoothed and is not an established early VVR detector","REG03;VAL03"
"Motion, posture, and robot phase","Required context and quality channel","Artifact rejection, procedural staging, and recovery/posture annotation","Procedure phase and movement are necessary to interpret wearable physiology","Unlogged movement can create false changes that resemble acute physiology","CLN08;VAL02"
"Prodromal symptoms","Co-primary label channel","Separate presyncope from pain, anxiety, nausea, and general discomfort","Prodromes have an ordered time course; standardized donor-reaction instruments and ISBT categories improve labeling","Self-report can be delayed or absent and must not be treated as a perfect reference","CLN18;CLN19;CLN20"
"Baseline clinical and procedural risk","Pre-procedure risk stratum","Calibrate prior probability before acute sensing","Age, first donation, blood volume, BP, fear, anxiety, prior reaction, and procedure context recur across donor studies","Baseline risk factors do not detect an acute event and can encode population bias","CLN01;CLN02;CLN13"
"Facial RGB video","Optional non-wearable auxiliary","Pre-procedure risk signal and observable pain/anxiety context","Facial-action and short-video models have shown direct blood-donation VVR classification signals","Lighting, pose, occlusion, privacy, demographic robustness, and limited external validation","VIS01;VIS03"
"Facial thermal imaging","Optional non-wearable auxiliary","Pre-procedure autonomic/perfusion signal","A 193-donor study reported sensitivity 0.87, specificity 0.84, F1 0.86, and PR-AUC 0.93","Specialized camera, ambient-temperature control, small test set, and no external Vitestro validation","VIS02;CLN13"
